#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
karma.32.desc;Your [From.GetFatherMother] was completely unrepentant. That, you somehow expected. The surprising part was how furious it made you. By the time the red haze fades from your vision, your [From.GetFatherMother] lies dead at your feet in a pool of blood.;;;;;;;;;;;;;x;
karma.32.A;[From.GetSheHeCap] had it coming.;;;;;;;;;;;;;x;
karma.33.desc;Much to your surprise, your [From.GetFatherMother] seems stricken with guilt. [From.GetSheHeCap] admits to everything and begs your forgiveness.;;;;;;;;;;;;;x;
karma.33.A;Of course, [From.GetFatherMotherCap].;;;;;;;;;;;;;x;
karma.33.B;No. You will not deceive anyone else again.;;;;;;;;;;;;;x;
karma.34.desc;Much to your astonishment, [From.GetFirstName] is willing to forgive you. The two of you begin talking, and you wind up having your first civil conversation in a long time. You might be able to salvage this relationship.;;;;;;;;;;;;;x;
karma.34.A;Perhaps we can be a family again.;;;;;;;;;;;;;x;
karma.35.desc;You confess everything and throw yourself on your [From.GetSonDaughter]'s mercy, but [From.GetSheHe] is having none of it. [From.GetFirstName] draws [From.GetHerHis] weapon, and you're too shocked to react properly. Before you know it, you're lying at [From.GetHerHis] feet, bleeding out...;;;;;;;;;;;;;x;
karma.35.A;I was... truly sorry.;;;;;;;;;;;;;x;
karma.36.desc;[From.GetFirstName] has approached you in your bedchamber. [From.GetSheHeCap] explains that [From.GetSheHe] knows you tried to have [From.GetHerHim] killed, but [From.GetSheHe] is willing to forgive you and try to repair your relationship.;;;;;;;;;;;;;x;
karma.36.A;...are you soft in the head?;;;;;;;;;;;;;x;
karma.36.B;I'm sorry. I should be asking for your forgiveness.;;;;;;;;;;;;;x;
karma.37.desc;[From.GetFirstName] withdraws, looking hurt.;;;;;;;;;;;;;x;
karma.37.A;[From.GetSheHeCap]'ll be dead soon enough.;;;;;;;;;;;;;x;
karma.38.desc;[From.GetFatherMotherCap] spit on your offer of forgiveness and reconciliation. If the angry look in [From.GetHerHis] eyes is any indication, you can expect more attempts on your life.;;;;;;;;;;;;;x;
karma.38.A;Justice may catch up with you yet, [From.GetFatherMotherCap].;;;;;;;;;;;;;x;
karma.39.desc;[From.GetFatherMotherCap] nearly broke down in tears when [From.GetSheHe] heard your offer of forgiveness! The two of you started talking about old times and before you knew it, you'd been swapping stories all night.;;;;;;;;;;;;;x;
karma.39.A;Perhaps we can be a family again.;;;;;;;;;;;;;x;
